filename,interval_label,start,end,step,stepnumber,f0,jumpkilleffect
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.11,8,-0.105635788482768,1
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.124,9,-0.0769962221362377,1
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.138,10,-0.0315464520592016,1
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.151,11,0.00394247302855304,1
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.165,12,0.0224754115830118,1
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.179,13,0.0247692098601795,1
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.193,14,0.0197196608927624,1
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.207,15,0.01171469191253,1
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.22,16,0.00780763948956259,1
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.234,17,0.000135046187879455,1
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.248,18,-0.000135058830315617,1
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.262,19,-0.000135058830315617,1
003bier-unasp-bilab-high-st-NA-NA-NA-NA-NA,bier,2.021,2.311,0.275,20,-0.000135058830315617,1
003bilen-unasp-bilab-high-st-NA-NA-NA-NA-NA,bilen,2.071,2.403,0.016,1,-0.0244765625141331,1
003bilen-unasp-bilab-high-st-NA-NA-NA-NA-NA,bilen,2.071,2.403,0.032,2,-0.0924370480634305,1
003bilen-unasp-bilab-high-st-NA-NA-NA-NA-NA,bilen,2.071,2.403,0.047,3,-0.0768532955122869,1
003bilen-unasp-bilab-high-st-NA-NA-NA-NA-NA,bilen,2.071,2.403,0.063,4,-0.0809938442876843,1
003bilen-unasp-bilab-high-st-NA-NA-NA-NA-NA,bilen,2.071,2.403,0.079,5,-0.111764868102377,1
003bilen-unasp-bilab-high-st-NA-NA-NA-NA-NA,bilen,2.071,2.403,0.095,6,-0.106232453870377,1
003bilen-unasp-bilab-high-st-NA-NA-NA-NA-NA,bilen,2.071,2.403,0.111,7,-0.0816208316227182,1
003bilen-unasp-bilab-high-st-NA-NA-NA-NA-NA,bilen,2.071,2.403,0.126,8,-0.0581054411995052,1
003bilen-unasp-bilab-high-st-NA-NA-NA-NA-NA,bilen,2.071,2.403,0.142,9,-0.0356027854821097,1
003bilen-unasp-bilab-high-st-NA-NA-NA-NA-NA,bilen,2.071,2.403,0.158,10,-0.0140381591585547,1
003bilen-unasp-bilab-high-st-NA-NA-NA-NA-NA,bilen,2.071,2.403,0.174,11,0.0139028760211466,1
003bilen-unasp-bilab-high-st-NA-NA-NA-NA-NA,bilen,2.071,2.403,0.19,12,0.0240395954896466,1
003bilen-unasp-bilab-high-st-NA-NA-NA-NA-NA,bilen,2.071,2.403,0.205,13,0.0353953806484965,1
003bilen-unasp-bilab-high-st-NA-NA-NA-NA-NA,bilen,2.071,2.403,0.221,14,0.0434407481907435,1
003bilen-unasp-bilab-high-st-NA-NA-NA-NA-NA,bilen,2.071,2.403,0.237,15,0.0445223288002152,1
003bilen-unasp-bilab-high-st-NA-NA-NA-NA-NA,bilen,2.071,2.403,0.253,16,0.0388975260463824,1
003bilen-unasp-bilab-high-st-NA-NA-NA-NA-NA,bilen,2.071,2.403,0.269,17,0.0248284796111939,1
003bilen-unasp-bilab-high-st-NA-NA-NA-NA-NA,bilen,2.071,2.403,0.284,18,0.0223160639478217,1
003bilen-unasp-bilab-high-st-NA-NA-NA-NA-NA,bilen,2.071,2.403,0.3,19,0.0247925391242556,1
003bilen-unasp-bilab-high-st-NA-NA-NA-NA-NA,bilen,2.071,2.403,0.316,20,0.0307782334221497,1
003bule-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bule,1.846,2.177,0.016,1,-0.16229793833918,1
003bule-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bule,1.846,2.177,0.032,2,-0.170759681930632,1
003bule-unasp-bilab-high-nst-NA-NA-NA-NA-NA,bule,1.846,2.177,0.047,3,-0.16150149365468,1
